bench,mFamily,model,qbits,bench_item,pass,ft,rte,se,te,oe
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_132_is_nested,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_133_sum_squares,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_134_check_if_last_char_is_a_letter,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_135_can_arrange,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_136_largest_smallest_integers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_137_compare_one,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_138_is_equal_to_sum_even,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_139_special_factorial,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_13_greatest_common_divisor,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_140_fix_spaces,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_141_file_name_check,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_142_sum_squares,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_143_words_in_sentence,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_144_simplify,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_145_order_by_points,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_146_specialFilter,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_147_get_max_triples,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_148_bf,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_149_sorted_list_sum,0,1,0,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_14_all_prefixes,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_150_x_or_y,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_151_double_the_difference,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_152_compare,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_153_Strongest_Extension,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_154_cycpattern_check,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_155_even_odd_count,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_156_int_to_mini_roman,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_157_right_angle_triangle,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_158_find_max,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_159_eat,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_15_string_sequence,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_160_do_algebra,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_161_solve,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_162_string_to_md5,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_163_generate_integers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_16_count_distinct_characters,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_17_parse_music,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_18_how_many_times,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_19_sort_numbers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_1_separate_paren_groups,0,1,0,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_20_find_closest_elements,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_21_rescale_to_unit,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_22_filter_integers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_23_strlen,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_24_largest_divisor,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_25_factorize,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_26_remove_duplicates,0,1,0,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_27_flip_case,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_28_concatenate,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_29_filter_by_prefix,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_2_truncate_number,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_30_get_positive,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_31_is_prime,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_33_sort_third,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_34_unique,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_35_max_element,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_36_fizz_buzz,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_37_sort_even,0,1,0,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_39_prime_fib,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_3_below_zero,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_40_triples_sum_to_zero,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_41_car_race_collision,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_42_incr_list,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_43_pairs_sum_to_zero,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_44_change_base,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_45_triangle_area,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_46_fib4,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_47_median,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_48_is_palindrome,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_49_modp,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_4_mean_absolute_deviation,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_51_remove_vowels,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_52_below_threshold,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_53_add,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_54_same_chars,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_55_fib,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_56_correct_bracketing,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_57_monotonic,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_58_common,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_59_largest_prime_factor,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_5_intersperse,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_60_sum_to_n,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_61_correct_bracketing,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_62_derivative,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_63_fibfib,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_64_vowels_count,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_65_circular_shift,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_66_digitSum,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_67_fruit_distribution,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_68_pluck,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_69_search,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_6_parse_nested_parens,0,0,1,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_70_strange_sort_list,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_71_triangle_area,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_72_will_it_fly,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_73_smallest_change,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_74_total_match,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_75_is_multiply_prime,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_76_is_simple_power,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_77_iscube,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_78_hex_key,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_79_decimal_to_binary,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_7_filter_by_substring,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_80_is_happy,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_81_numerical_letter_grade,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_82_prime_length,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_83_starts_one_ends,0,1,0,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_84_solve,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_85_add,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_86_anti_shuffle,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_87_get_row,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_88_sort_array,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_89_encrypt,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_8_sum_product,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_90_next_smallest,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_91_is_bored,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_92_any_int,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_93_encode,0,0,1,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_94_skjkasdkd,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_95_check_dict_case,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_96_count_up_to,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_97_multiply,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_98_count_upper,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_99_closest_integer,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_9_rolling_max,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_0_has_close_elements,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_100_make_a_pile,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_101_words_string,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_102_choose_num,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_103_rounded_avg,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_104_unique_digits,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_105_by_length,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_106_f,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_107_even_odd_palindrome,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_108_count_nums,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_109_move_one_ball,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_10_make_palindrome,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_110_exchange,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_111_histogram,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_112_reverse_delete,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_113_odd_count,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_114_minSubArraySum,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_115_max_fill,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_116_sort_array,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_117_select_words,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_118_get_closest_vowel,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_119_match_parens,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_11_string_xor,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_120_maximum,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_121_solution,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_122_add_elements,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_123_get_odd_collatz,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_124_valid_date,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_125_split_words,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_126_is_sorted,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_127_intersection,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_128_prod_signs,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_129_minPath,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_12_longest,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_130_tri,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_131_digits,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_132_is_nested,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_133_sum_squares,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_134_check_if_last_char_is_a_letter,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_135_can_arrange,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_136_largest_smallest_integers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_137_compare_one,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_138_is_equal_to_sum_even,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_139_special_factorial,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_13_greatest_common_divisor,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_140_fix_spaces,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_141_file_name_check,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_142_sum_squares,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_143_words_in_sentence,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_144_simplify,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_145_order_by_points,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_146_specialFilter,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_147_get_max_triples,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_148_bf,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_149_sorted_list_sum,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_14_all_prefixes,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_150_x_or_y,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_151_double_the_difference,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_152_compare,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_153_Strongest_Extension,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_154_cycpattern_check,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_155_even_odd_count,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_156_int_to_mini_roman,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_157_right_angle_triangle,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_158_find_max,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_159_eat,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_15_string_sequence,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_160_do_algebra,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_161_solve,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_162_string_to_md5,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_163_generate_integers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_16_count_distinct_characters,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_17_parse_music,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_18_how_many_times,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_19_sort_numbers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_1_separate_paren_groups,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_20_find_closest_elements,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_21_rescale_to_unit,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_22_filter_integers,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_23_strlen,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_24_largest_divisor,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_25_factorize,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_26_remove_duplicates,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_27_flip_case,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_28_concatenate,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_29_filter_by_prefix,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_2_truncate_number,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_30_get_positive,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_31_is_prime,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_33_sort_third,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_34_unique,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_35_max_element,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_36_fizz_buzz,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_37_sort_even,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_39_prime_fib,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_3_below_zero,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_40_triples_sum_to_zero,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_41_car_race_collision,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_42_incr_list,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_43_pairs_sum_to_zero,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_44_change_base,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_45_triangle_area,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_46_fib4,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_47_median,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_48_is_palindrome,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaQ2,2,HumanEval_49_modp,0,0,0,1,0,0
