bench,model,bench_item,loc
HumanEval,CodeQwenQ2,HumanEval_155_even_odd_count,32
HumanEval,CodeQwenQ2,HumanEval_65_circular_shift,32
HumanEval,DSCoderQ8,HumanEval_119_match_parens,32
HumanEval,CodeGemmaFP16,HumanEval_107_even_odd_palindrome,31
HumanEval,CodeLlamaQ8,HumanEval_75_is_multiply_prime,31
HumanEval,CodeLlama,HumanEval_127_intersection,31
HumanEval,CodeLlama,HumanEval_70_strange_sort_list,31
HumanEval,CodeQwenQ2,HumanEval_113_odd_count,31
HumanEval,CodeQwenQ2,HumanEval_150_x_or_y,31
HumanEval,CodeQwenQ8,HumanEval_145_order_by_points,31
HumanEval,CodeQwenQ8,HumanEval_18_how_many_times,31
HumanEval,CodeQwenQ8,HumanEval_39_prime_fib,31
HumanEval,CodeQwen,HumanEval_145_order_by_points,31
HumanEval,CodeQwen,HumanEval_65_circular_shift,31
HumanEval,CodeQwen,HumanEval_83_starts_one_ends,31
HumanEval,CodeGemmaQ8,HumanEval_125_split_words,30
HumanEval,CodeGemma,HumanEval_19_sort_numbers,30
HumanEval,CodeLlamaQ2,HumanEval_1_separate_paren_groups,30
HumanEval,CodeLlama,HumanEval_109_move_one_ball,30
HumanEval,CodeQwenQ2,HumanEval_104_unique_digits,30
HumanEval,CodeQwenQ2,HumanEval_110_exchange,30
HumanEval,CodeQwenQ8,HumanEval_143_words_in_sentence,30
HumanEval,CodeQwenQ8,HumanEval_150_x_or_y,30
HumanEval,CodeQwenQ8,HumanEval_27_flip_case,30
HumanEval,CodeQwenQ8,HumanEval_93_encode,30
HumanEval,CodeQwen,HumanEval_24_largest_divisor,30
HumanEval,DSCoderQ8,HumanEval_1_separate_paren_groups,30
HumanEval,StarCoderFP16,HumanEval_10_make_palindrome,30
HumanEval,CodeGemmaQ8,HumanEval_109_move_one_ball,29
HumanEval,CodeGemmaQ8,HumanEval_118_get_closest_vowel,29
HumanEval,CodeGemmaQ8,HumanEval_137_compare_one,29
HumanEval,CodeGemma,HumanEval_137_compare_one,29
HumanEval,CodeQwenQ8,HumanEval_1_separate_paren_groups,29
HumanEval,CodeQwenQ8,HumanEval_99_closest_integer,29
HumanEval,CodeQwen,HumanEval_141_file_name_check,29
HumanEval,CodeQwen,HumanEval_143_words_in_sentence,29
HumanEval,CodeQwen,HumanEval_1_separate_paren_groups,29
HumanEval,CodeQwen,HumanEval_54_same_chars,29
HumanEval,CodeQwen,HumanEval_64_vowels_count,29
HumanEval,CodeQwen,HumanEval_93_encode,29
HumanEval,CodeQwen,HumanEval_99_closest_integer,29
HumanEval,StarCoderFP16,HumanEval_118_get_closest_vowel,29
HumanEval,StarCoderQ2,HumanEval_25_factorize,29
HumanEval,StarCoder,HumanEval_112_reverse_delete,29
HumanEval,CodeGemmaFP16,HumanEval_145_order_by_points,28
HumanEval,CodeGemmaQ8,HumanEval_73_smallest_change,28
HumanEval,CodeGemma,HumanEval_110_exchange,28
HumanEval,CodeGemma,HumanEval_116_sort_array,28
HumanEval,CodeLlamaQ2,HumanEval_70_strange_sort_list,28
HumanEval,CodeLlamaQ8,HumanEval_109_move_one_ball,28
HumanEval,CodeLlamaQ8,HumanEval_111_histogram,28
HumanEval,CodeLlamaQ8,HumanEval_141_file_name_check,28
HumanEval,CodeLlama,HumanEval_73_smallest_change,28
HumanEval,CodeQwenQ2,HumanEval_11_string_xor,28
HumanEval,CodeQwenQ2,HumanEval_80_is_happy,28
HumanEval,CodeQwenQ8,HumanEval_104_unique_digits,28
HumanEval,CodeQwenQ8,HumanEval_10_make_palindrome,28
HumanEval,CodeQwenQ8,HumanEval_141_file_name_check,28
HumanEval,CodeQwen,HumanEval_104_unique_digits,28
HumanEval,CodeQwen,HumanEval_108_count_nums,28
HumanEval,CodeQwen,HumanEval_16_count_distinct_characters,28
HumanEval,CodeQwen,HumanEval_96_count_up_to,28
HumanEval,DSCoder,HumanEval_119_match_parens,28
HumanEval,DSCoder,HumanEval_156_int_to_mini_roman,28
HumanEval,DSCoder,HumanEval_19_sort_numbers,28
HumanEval,StarCoderFP16,HumanEval_93_encode,28
HumanEval,StarCoder,HumanEval_127_intersection,28
HumanEval,CodeGemmaFP16,HumanEval_46_fib4,27
HumanEval,CodeGemmaQ8,HumanEval_140_fix_spaces,27
HumanEval,CodeLlamaQ2,HumanEval_111_histogram,27
HumanEval,CodeLlamaQ8,HumanEval_54_same_chars,27
HumanEval,CodeQwenQ2,HumanEval_138_is_equal_to_sum_even,27
HumanEval,CodeQwenQ2,HumanEval_145_order_by_points,27
HumanEval,CodeQwenQ2,HumanEval_24_largest_divisor,27
HumanEval,CodeQwenQ2,HumanEval_33_sort_third,27
HumanEval,CodeQwenQ2,HumanEval_37_sort_even,27
HumanEval,CodeQwenQ2,HumanEval_54_same_chars,27
HumanEval,CodeQwenQ2,HumanEval_83_starts_one_ends,27
HumanEval,CodeQwenQ8,HumanEval_11_string_xor,27
HumanEval,CodeQwenQ8,HumanEval_33_sort_third,27
HumanEval,CodeQwenQ8,HumanEval_54_same_chars,27
HumanEval,CodeQwenQ8,HumanEval_64_vowels_count,27
HumanEval,CodeQwen,HumanEval_106_f,27
HumanEval,CodeQwen,HumanEval_110_exchange,27
HumanEval,CodeQwen,HumanEval_11_string_xor,27
HumanEval,CodeQwen,HumanEval_139_special_factorial,27
HumanEval,CodeQwen,HumanEval_13_greatest_common_divisor,27
HumanEval,CodeQwen,HumanEval_140_fix_spaces,27
HumanEval,CodeQwen,HumanEval_158_find_max,27
HumanEval,DSCoderQ8,HumanEval_124_valid_date,27
HumanEval,StarCoderFP16,HumanEval_1_separate_paren_groups,27
HumanEval,CodeGemmaQ8,HumanEval_107_even_odd_palindrome,26
HumanEval,CodeGemmaQ8,HumanEval_143_words_in_sentence,26
HumanEval,CodeGemmaQ8,HumanEval_70_strange_sort_list,26
HumanEval,CodeGemma,HumanEval_124_valid_date,26
HumanEval,CodeGemma,HumanEval_148_bf,26
HumanEval,CodeLlamaQ2,HumanEval_127_intersection,26
HumanEval,CodeLlamaQ2,HumanEval_41_car_race_collision,26
HumanEval,CodeQwenQ2,HumanEval_128_prod_signs,26
HumanEval,CodeQwenQ2,HumanEval_134_check_if_last_char_is_a_letter,26
HumanEval,CodeQwenQ2,HumanEval_146_specialFilter,26
HumanEval,CodeQwenQ2,HumanEval_31_is_prime,26
HumanEval,CodeQwenQ2,HumanEval_64_vowels_count,26
HumanEval,CodeQwenQ2,HumanEval_96_count_up_to,26
HumanEval,CodeQwenQ8,HumanEval_108_count_nums,26
HumanEval,CodeQwen,HumanEval_85_add,26
HumanEval,CodeQwen,HumanEval_89_encrypt,26
HumanEval,DSCoder,HumanEval_118_get_closest_vowel,26
HumanEval,DSCoder,HumanEval_1_separate_paren_groups,26
HumanEval,StarCoderFP16,HumanEval_141_file_name_check,26
HumanEval,CodeGemmaFP16,HumanEval_105_by_length,25
HumanEval,CodeGemmaFP16,HumanEval_109_move_one_ball,25
HumanEval,CodeGemmaFP16,HumanEval_125_split_words,25
HumanEval,CodeGemmaFP16,HumanEval_156_int_to_mini_roman,25
HumanEval,CodeGemmaFP16,HumanEval_1_separate_paren_groups,25
HumanEval,CodeGemmaFP16,HumanEval_70_strange_sort_list,25
HumanEval,CodeGemmaQ8,HumanEval_154_cycpattern_check,25
HumanEval,CodeGemmaQ8,HumanEval_156_int_to_mini_roman,25
HumanEval,CodeGemmaQ8,HumanEval_95_check_dict_case,25
HumanEval,CodeGemma,HumanEval_118_get_closest_vowel,25
HumanEval,CodeGemma,HumanEval_120_maximum,25
HumanEval,CodeGemma,HumanEval_156_int_to_mini_roman,25
HumanEval,CodeGemma,HumanEval_93_encode,25
HumanEval,CodeGemma,HumanEval_95_check_dict_case,25
HumanEval,CodeLlamaQ8,HumanEval_156_int_to_mini_roman,25
HumanEval,CodeLlama,HumanEval_118_get_closest_vowel,25
HumanEval,CodeLlama,HumanEval_141_file_name_check,25
HumanEval,CodeLlama,HumanEval_156_int_to_mini_roman,25
HumanEval,CodeQwenQ2,HumanEval_123_get_odd_collatz,25
HumanEval,CodeQwenQ8,HumanEval_109_move_one_ball,25
HumanEval,CodeQwenQ8,HumanEval_119_match_parens,25
HumanEval,CodeQwenQ8,HumanEval_142_sum_squares,25
HumanEval,CodeQwenQ8,HumanEval_158_find_max,25
HumanEval,CodeQwenQ8,HumanEval_2_truncate_number,25
HumanEval,CodeQwenQ8,HumanEval_31_is_prime,25
HumanEval,CodeQwen,HumanEval_119_match_parens,25
HumanEval,CodeQwen,HumanEval_31_is_prime,25
HumanEval,CodeQwen,HumanEval_33_sort_third,25
HumanEval,DSCoderFP16,HumanEval_141_file_name_check,25
HumanEval,DSCoderFP16,HumanEval_156_int_to_mini_roman,25
HumanEval,DSCoderFP16,HumanEval_95_check_dict_case,25
HumanEval,StarCoderFP16,HumanEval_116_sort_array,25
HumanEval,StarCoderQ2,HumanEval_1_separate_paren_groups,25
HumanEval,StarCoderQ2,HumanEval_65_circular_shift,25
HumanEval,StarCoderQ2,HumanEval_70_strange_sort_list,25
HumanEval,CodeGemmaFP16,HumanEval_111_histogram,24
HumanEval,CodeGemmaFP16,HumanEval_118_get_closest_vowel,24
HumanEval,CodeGemmaQ8,HumanEval_148_bf,24
HumanEval,CodeLlamaQ2,HumanEval_109_move_one_ball,24
HumanEval,CodeLlamaQ8,HumanEval_127_intersection,24
HumanEval,CodeLlama,HumanEval_72_will_it_fly,24
HumanEval,CodeQwenQ8,HumanEval_71_triangle_area,24
HumanEval,CodeQwenQ8,HumanEval_89_encrypt,24
HumanEval,CodeQwen,HumanEval_26_remove_duplicates,24
HumanEval,CodeQwen,HumanEval_71_triangle_area,24
HumanEval,DSCoderFP16,HumanEval_145_order_by_points,24
HumanEval,DSCoderQ8,HumanEval_105_by_length,24
HumanEval,DSCoder,HumanEval_105_by_length,24
HumanEval,StarCoderFP16,HumanEval_117_select_words,24
HumanEval,StarCoderFP16,HumanEval_124_valid_date,24
HumanEval,StarCoderFP16,HumanEval_136_largest_smallest_integers,24
HumanEval,StarCoderQ2,HumanEval_156_int_to_mini_roman,24
HumanEval,StarCoderQ2,HumanEval_157_right_angle_triangle,24
HumanEval,StarCoderQ8,HumanEval_118_get_closest_vowel,24
HumanEval,StarCoderQ8,HumanEval_137_compare_one,24
HumanEval,StarCoder,HumanEval_153_Strongest_Extension,24
HumanEval,StarCoder,HumanEval_19_sort_numbers,24
HumanEval,CodeGemmaFP16,HumanEval_117_select_words,23
HumanEval,CodeGemmaFP16,HumanEval_89_encrypt,23
HumanEval,CodeGemmaFP16,HumanEval_93_encode,23
HumanEval,CodeGemmaQ8,HumanEval_116_sort_array,23
HumanEval,CodeGemmaQ8,HumanEval_117_select_words,23
HumanEval,CodeGemmaQ8,HumanEval_93_encode,23
HumanEval,CodeGemma,HumanEval_107_even_odd_palindrome,23
HumanEval,CodeLlamaQ2,HumanEval_118_get_closest_vowel,23
HumanEval,CodeLlamaQ2,HumanEval_93_encode,23
HumanEval,CodeLlamaQ8,HumanEval_117_select_words,23
HumanEval,CodeLlamaQ8,HumanEval_73_smallest_change,23
HumanEval,CodeQwenQ2,HumanEval_107_even_odd_palindrome,23
HumanEval,CodeQwenQ2,HumanEval_119_match_parens,23
HumanEval,CodeQwenQ2,HumanEval_132_is_nested,23
HumanEval,CodeQwenQ2,HumanEval_141_file_name_check,23
HumanEval,CodeQwenQ2,HumanEval_93_encode,23
HumanEval,CodeQwenQ8,HumanEval_12_longest,23
HumanEval,CodeQwenQ8,HumanEval_132_is_nested,23
HumanEval,CodeQwenQ8,HumanEval_153_Strongest_Extension,23
HumanEval,CodeQwenQ8,HumanEval_24_largest_divisor,23
HumanEval,CodeQwenQ8,HumanEval_37_sort_even,23
HumanEval,CodeQwenQ8,HumanEval_79_decimal_to_binary,23
HumanEval,CodeQwenQ8,HumanEval_95_check_dict_case,23
HumanEval,CodeQwen,HumanEval_109_move_one_ball,23
HumanEval,CodeQwen,HumanEval_12_longest,23
HumanEval,CodeQwen,HumanEval_153_Strongest_Extension,23
HumanEval,CodeQwen,HumanEval_21_rescale_to_unit,23
HumanEval,CodeQwen,HumanEval_2_truncate_number,23
HumanEval,CodeQwen,HumanEval_79_decimal_to_binary,23
HumanEval,CodeQwen,HumanEval_8_sum_product,23
HumanEval,CodeQwen,HumanEval_95_check_dict_case,23
HumanEval,DSCoderFP16,HumanEval_40_triples_sum_to_zero,23
HumanEval,DSCoderQ2,HumanEval_117_select_words,23
HumanEval,DSCoderQ2,HumanEval_124_valid_date,23
HumanEval,DSCoder,HumanEval_111_histogram,23
HumanEval,StarCoderFP16,HumanEval_110_exchange,23
HumanEval,StarCoderQ8,HumanEval_141_file_name_check,23
HumanEval,StarCoder,HumanEval_119_match_parens,23
HumanEval,StarCoder,HumanEval_1_separate_paren_groups,23
HumanEval,CodeGemmaFP16,HumanEval_148_bf,22
HumanEval,CodeGemmaQ8,HumanEval_124_valid_date,22
HumanEval,CodeGemma,HumanEval_119_match_parens,22
HumanEval,CodeGemma,HumanEval_160_do_algebra,22
HumanEval,CodeGemma,HumanEval_47_median,22
HumanEval,CodeGemma,HumanEval_75_is_multiply_prime,22
HumanEval,CodeGemma,HumanEval_77_iscube,22
HumanEval,CodeLlamaQ8,HumanEval_115_max_fill,22
HumanEval,CodeLlamaQ8,HumanEval_118_get_closest_vowel,22
HumanEval,CodeLlamaQ8,HumanEval_124_valid_date,22
HumanEval,CodeLlamaQ8,HumanEval_1_separate_paren_groups,22
HumanEval,CodeLlamaQ8,HumanEval_95_check_dict_case,22
HumanEval,CodeLlama,HumanEval_153_Strongest_Extension,22
HumanEval,CodeLlama,HumanEval_1_separate_paren_groups,22
HumanEval,CodeLlama,HumanEval_58_common,22
HumanEval,CodeLlama,HumanEval_95_check_dict_case,22
HumanEval,CodeQwenQ2,HumanEval_148_bf,22
HumanEval,CodeQwenQ2,HumanEval_149_sorted_list_sum,22
HumanEval,CodeQwenQ2,HumanEval_16_count_distinct_characters,22
HumanEval,CodeQwenQ2,HumanEval_2_truncate_number,22
HumanEval,CodeQwenQ2,HumanEval_85_add,22
HumanEval,CodeQwenQ8,HumanEval_100_make_a_pile,22
HumanEval,CodeQwenQ8,HumanEval_117_select_words,22
HumanEval,CodeQwenQ8,HumanEval_125_split_words,22
HumanEval,CodeQwenQ8,HumanEval_127_intersection,22
HumanEval,CodeQwenQ8,HumanEval_139_special_factorial,22
HumanEval,CodeQwenQ8,HumanEval_149_sorted_list_sum,22
HumanEval,CodeQwenQ8,HumanEval_154_cycpattern_check,22
HumanEval,CodeQwenQ8,HumanEval_21_rescale_to_unit,22
HumanEval,CodeQwenQ8,HumanEval_26_remove_duplicates,22
HumanEval,CodeQwenQ8,HumanEval_3_below_zero,22
HumanEval,CodeQwen,HumanEval_100_make_a_pile,22
HumanEval,CodeQwen,HumanEval_117_select_words,22
HumanEval,CodeQwen,HumanEval_127_intersection,22
HumanEval,CodeQwen,HumanEval_154_cycpattern_check,22
HumanEval,CodeQwen,HumanEval_29_filter_by_prefix,22
HumanEval,CodeQwen,HumanEval_74_total_match,22
HumanEval,CodeQwen,HumanEval_91_is_bored,22
HumanEval,DSCoderFP16,HumanEval_153_Strongest_Extension,22
HumanEval,DSCoderQ8,HumanEval_110_exchange,22
HumanEval,DSCoder,HumanEval_40_triples_sum_to_zero,22
HumanEval,StarCoderFP16,HumanEval_17_parse_music,22
HumanEval,StarCoderQ8,HumanEval_124_valid_date,22
HumanEval,StarCoder,HumanEval_124_valid_date,22
HumanEval,CodeGemmaFP16,HumanEval_150_x_or_y,21
HumanEval,CodeGemmaFP16,HumanEval_21_rescale_to_unit,21
HumanEval,CodeGemmaFP16,HumanEval_81_numerical_letter_grade,21
HumanEval,CodeGemmaFP16,HumanEval_95_check_dict_case,21
HumanEval,CodeGemmaQ8,HumanEval_112_reverse_delete,21
HumanEval,CodeGemmaQ8,HumanEval_54_same_chars,21
HumanEval,CodeGemmaQ8,HumanEval_65_circular_shift,21
HumanEval,CodeGemma,HumanEval_111_histogram,21
HumanEval,CodeGemma,HumanEval_37_sort_even,21
HumanEval,CodeGemma,HumanEval_41_car_race_collision,21
HumanEval,CodeLlamaQ2,HumanEval_145_order_by_points,21
HumanEval,CodeLlama,HumanEval_117_select_words,21
HumanEval,CodeLlama,HumanEval_128_prod_signs,21
HumanEval,CodeQwenQ2,HumanEval_94_skjkasdkd,21
HumanEval,CodeQwenQ8,HumanEval_110_exchange,21
HumanEval,CodeQwenQ8,HumanEval_135_can_arrange,21
HumanEval,CodeQwenQ8,HumanEval_14_all_prefixes,21
HumanEval,CodeQwenQ8,HumanEval_40_triples_sum_to_zero,21
HumanEval,CodeQwenQ8,HumanEval_70_strange_sort_list,21
HumanEval,CodeQwenQ8,HumanEval_85_add,21
HumanEval,CodeQwenQ8,HumanEval_86_anti_shuffle,21
HumanEval,CodeQwenQ8,HumanEval_87_get_row,21
HumanEval,CodeQwenQ8,HumanEval_94_skjkasdkd,21
HumanEval,CodeQwen,HumanEval_114_minSubArraySum,21
HumanEval,CodeQwen,HumanEval_118_get_closest_vowel,21
HumanEval,CodeQwen,HumanEval_149_sorted_list_sum,21
HumanEval,CodeQwen,HumanEval_14_all_prefixes,21
HumanEval,CodeQwen,HumanEval_22_filter_integers,21
HumanEval,CodeQwen,HumanEval_70_strange_sort_list,21
HumanEval,CodeQwen,HumanEval_72_will_it_fly,21
HumanEval,CodeQwen,HumanEval_86_anti_shuffle,21
HumanEval,CodeQwen,HumanEval_87_get_row,21
HumanEval,CodeQwen,HumanEval_94_skjkasdkd,21
HumanEval,DSCoderFP16,HumanEval_119_match_parens,21
HumanEval,DSCoderFP16,HumanEval_63_fibfib,21
HumanEval,DSCoderFP16,HumanEval_81_numerical_letter_grade,21
HumanEval,DSCoderQ8,HumanEval_111_histogram,21
HumanEval,DSCoderQ8,HumanEval_148_bf,21
HumanEval,StarCoderFP16,HumanEval_148_bf,21
HumanEval,StarCoderFP16,HumanEval_69_search,21
HumanEval,StarCoderFP16,HumanEval_70_strange_sort_list,21
HumanEval,StarCoderFP16,HumanEval_75_is_multiply_prime,21
HumanEval,StarCoderQ2,HumanEval_117_select_words,21
HumanEval,StarCoderQ2,HumanEval_145_order_by_points,21
HumanEval,StarCoderQ8,HumanEval_116_sort_array,21
HumanEval,StarCoderQ8,HumanEval_117_select_words,21
HumanEval,StarCoderQ8,HumanEval_153_Strongest_Extension,21
HumanEval,StarCoderQ8,HumanEval_40_triples_sum_to_zero,21
HumanEval,StarCoderQ8,HumanEval_70_strange_sort_list,21
HumanEval,StarCoder,HumanEval_116_sort_array,21
HumanEval,StarCoder,HumanEval_117_select_words,21
HumanEval,StarCoder,HumanEval_137_compare_one,21
HumanEval,StarCoder,HumanEval_158_find_max,21
HumanEval,StarCoder,HumanEval_25_factorize,21
HumanEval,CodeGemmaFP16,HumanEval_115_max_fill,20
HumanEval,CodeGemmaFP16,HumanEval_158_find_max,20
HumanEval,CodeGemmaFP16,HumanEval_74_total_match,20
HumanEval,CodeGemmaQ2,HumanEval_56_correct_bracketing,20
HumanEval,CodeGemmaQ2,HumanEval_83_starts_one_ends,20
HumanEval,CodeGemmaQ8,HumanEval_104_unique_digits,20
HumanEval,CodeGemmaQ8,HumanEval_111_histogram,20
HumanEval,CodeGemmaQ8,HumanEval_1_separate_paren_groups,20
HumanEval,CodeGemmaQ8,HumanEval_37_sort_even,20
HumanEval,CodeGemmaQ8,HumanEval_57_monotonic,20
HumanEval,CodeGemmaQ8,HumanEval_89_encrypt,20
HumanEval,CodeGemma,HumanEval_104_unique_digits,20
HumanEval,CodeGemma,HumanEval_115_max_fill,20
HumanEval,CodeLlamaQ2,HumanEval_107_even_odd_palindrome,20
HumanEval,CodeLlamaQ2,HumanEval_110_exchange,20
HumanEval,CodeLlamaQ2,HumanEval_161_solve,20
HumanEval,CodeLlamaQ2,HumanEval_68_pluck,20
HumanEval,CodeLlamaQ8,HumanEval_119_match_parens,20
HumanEval,CodeLlamaQ8,HumanEval_145_order_by_points,20
HumanEval,CodeLlamaQ8,HumanEval_158_find_max,20
HumanEval,CodeLlamaQ8,HumanEval_89_encrypt,20
HumanEval,CodeLlama,HumanEval_111_histogram,20
HumanEval,CodeLlama,HumanEval_115_max_fill,20
HumanEval,CodeLlama,HumanEval_119_match_parens,20
HumanEval,CodeLlama,HumanEval_145_order_by_points,20
HumanEval,CodeLlama,HumanEval_158_find_max,20
HumanEval,CodeLlama,HumanEval_89_encrypt,20
HumanEval,CodeQwenQ2,HumanEval_143_words_in_sentence,20
HumanEval,CodeQwenQ2,HumanEval_154_cycpattern_check,20
HumanEval,CodeQwenQ2,HumanEval_1_separate_paren_groups,20
HumanEval,CodeQwenQ2,HumanEval_4_mean_absolute_deviation,20
HumanEval,CodeQwenQ2,HumanEval_6_parse_nested_parens,20
HumanEval,CodeQwenQ2,HumanEval_74_total_match,20
HumanEval,CodeQwenQ2,HumanEval_90_next_smallest,20
HumanEval,CodeQwenQ2,HumanEval_91_is_bored,20
HumanEval,CodeQwenQ8,HumanEval_147_get_max_triples,20
HumanEval,CodeQwenQ8,HumanEval_47_median,20
HumanEval,CodeQwenQ8,HumanEval_4_mean_absolute_deviation,20
HumanEval,CodeQwenQ8,HumanEval_74_total_match,20
HumanEval,CodeQwenQ8,HumanEval_7_filter_by_substring,20
HumanEval,CodeQwenQ8,HumanEval_91_is_bored,20
HumanEval,CodeQwen,HumanEval_125_split_words,20
HumanEval,CodeQwen,HumanEval_132_is_nested,20
HumanEval,CodeQwen,HumanEval_135_can_arrange,20
HumanEval,CodeQwen,HumanEval_144_simplify,20
HumanEval,CodeQwen,HumanEval_147_get_max_triples,20
HumanEval,CodeQwen,HumanEval_35_max_element,20
HumanEval,CodeQwen,HumanEval_3_below_zero,20
HumanEval,CodeQwen,HumanEval_40_triples_sum_to_zero,20
HumanEval,CodeQwen,HumanEval_7_filter_by_substring,20
HumanEval,DSCoderFP16,HumanEval_148_bf,20
HumanEval,DSCoderFP16,HumanEval_87_get_row,20
HumanEval,DSCoderQ2,HumanEval_6_parse_nested_parens,20
HumanEval,DSCoderQ8,HumanEval_40_triples_sum_to_zero,20
HumanEval,DSCoder,HumanEval_148_bf,20
HumanEval,DSCoder,HumanEval_153_Strongest_Extension,20
HumanEval,StarCoderFP16,HumanEval_19_sort_numbers,20
HumanEval,StarCoderFP16,HumanEval_41_car_race_collision,20
HumanEval,StarCoderFP16,HumanEval_6_parse_nested_parens,20
HumanEval,StarCoderFP16,HumanEval_73_smallest_change,20
HumanEval,StarCoderQ2,HumanEval_141_file_name_check,20
HumanEval,StarCoderQ2,HumanEval_158_find_max,20
HumanEval,StarCoderQ2,HumanEval_39_prime_fib,20
HumanEval,StarCoderQ8,HumanEval_1_separate_paren_groups,20
HumanEval,StarCoder,HumanEval_118_get_closest_vowel,20
HumanEval,CodeGemmaFP16,HumanEval_124_valid_date,19
HumanEval,CodeGemmaFP16,HumanEval_147_get_max_triples,19
HumanEval,CodeGemmaFP16,HumanEval_6_parse_nested_parens,19
HumanEval,CodeGemmaQ8,HumanEval_120_maximum,19
HumanEval,CodeGemmaQ8,HumanEval_127_intersection,19
HumanEval,CodeGemmaQ8,HumanEval_153_Strongest_Extension,19
HumanEval,CodeGemmaQ8,HumanEval_72_will_it_fly,19
HumanEval,CodeGemmaQ8,HumanEval_88_sort_array,19
HumanEval,CodeGemma,HumanEval_127_intersection,19
HumanEval,CodeGemma,HumanEval_158_find_max,19
HumanEval,CodeGemma,HumanEval_70_strange_sort_list,19
HumanEval,CodeGemma,HumanEval_88_sort_array,19
HumanEval,CodeLlamaQ2,HumanEval_153_Strongest_Extension,19
HumanEval,CodeLlamaQ2,HumanEval_25_factorize,19
HumanEval,CodeLlamaQ2,HumanEval_95_check_dict_case,19
HumanEval,CodeLlamaQ8,HumanEval_11_string_xor,19
HumanEval,CodeLlamaQ8,HumanEval_25_factorize,19
